Wavelength(um) Flux(uJy) Error(uJy)
0.6067556142807007 0.07337858343512088 0.05330722967433532
0.6111966371536255 0.12024433289603181 0.055618177149814735
0.6157302856445312 0.08949706482686583 0.04878016302517345
0.6203600168228149 0.2664452955159531 0.055061446004542006
0.625092089176178 0.3080525171784263 0.046098997087773715
0.6299285292625427 0.3121062353835099 0.04462979691691268
0.634869396686554 0.09848098783902876 0.04202474860888461
0.6399180889129639 0.26770070144778146 0.045018656042880745
0.645078182220459 0.10265595898053548 0.04578663465809448
0.6503554582595825 0.15418869470762475 0.039541782677979045
0.6557567715644836 0.18503809249411002 0.039562305410953465
0.6612820029258728 0.0917307815250258 0.03694396774677209
0.6669345498085022 0.23002703295455726 0.03417680912340245
0.6727177500724792 0.349152099659122 0.03461889069654334
0.6786348223686218 0.26669052423146944 0.03300169378689202
0.6846890449523926 0.17228610619285994 0.03182925928291153
0.6908949613571167 0.42232551675222185 0.03899225164696921
0.6972581148147583 0.3394579586931905 0.0284315863311523
0.7037699818611145 0.38021534477152014 0.027702214093914924
0.7104354500770569 0.29153288811493827 0.02566882132064694
0.7172863483428955 0.413785989481449 0.025698881294355477
0.7242967486381531 0.4458364336483491 0.0250437516204859
0.7314887046813965 0.5338541903184826 0.02448499993149255
0.7388662695884705 0.5027835241240022 0.026435984582715885
0.746430516242981 0.5091081131233872 0.024377590900881898
0.7541941404342651 0.5476889196408619 0.024145776701024683
0.7621619701385498 0.6074109026564336 0.024511828945582556
0.7703294157981873 0.6276945801116339 0.023988830365622694
0.7787298560142517 0.6027182337685442 0.023979200252562293
0.8146011829376221 0.9514265268426443 0.02535835665945673
0.8241833448410034 1.0135834819614928 0.02406236491900788
0.8340234160423279 1.059524658090139 0.02595731487004509
0.8441269397735596 1.1265531526872197 0.02722327455123083
0.8545023202896118 1.0728025096034663 0.026095001701483128
0.8651565313339233 1.2351642040609367 0.027700341138808985
0.876101016998291 1.2571595352140001 0.026899421969037142
0.8873430490493774 1.4412290317453618 0.027249741417801027
0.898881196975708 1.4798818522281725 0.026619507365816725
0.910719633102417 1.4764498472442864 0.026446364326030897
0.922882080078125 1.6077563104346164 0.027470103374082486
0.9353504180908203 1.7251749744489882 0.027228497923237293
0.9481494426727295 1.7582752918717448 0.027216591504852252
0.9612654447555542 1.877922789238512 0.026649949401243805
