This file contains the downward and upward spectral flux (per wavelength) at TOA and the secondary eclipse depth (= planet to star flux ratio).
Spectral fluxes given in [erg s^-1 cm^-3].
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     planet/star flux ratio  
69      0.428473295       0.427760361          0.00142586787      8.09876e+09     7.74651e+09     0.00144177              
70      0.429901539       0.429186229          0.00143062076      7.99638e+09     7.78377e+09     0.00146725              
71      0.431334544       0.430616849          0.0014353895       7.89527e+09     7.73029e+09     0.00147583              
72      0.432772326       0.432052239          0.00144017413      7.79543e+09     7.48896e+09     0.00144807              
73      0.4342149         0.433492413          0.00144497471      7.69684e+09     7.19857e+09     0.00140975              
74      0.435662283       0.434937388          0.00144979129      7.59948e+09     6.80262e+09     0.00134927              
75      0.437114491       0.436387179          0.00145462393      7.50333e+09     6.38361e+09     0.00128239              
76      0.438571539       0.437841803          0.00145947268      7.40838e+09     7.93812e+09     0.00161511              
77      0.440033444       0.439301276          0.00146433759      7.31462e+09     9.44345e+09     0.00194602              
78      0.441500223       0.440765613          0.00146921871      7.22204e+09     9.6808e+09      0.0020205               
79      0.44297189        0.442234832          0.00147411611      7.13061e+09     9.92513e+09     0.00209806              
80      0.444448463       0.443708948          0.00147902983      7.04032e+09     1.01714e+10     0.00217768              
81      0.445929958       0.445187978          0.00148395993      6.95117e+09     1.0425e+10      0.00226062              
82      0.447416391       0.446671938          0.00148890646      6.86313e+09     1.06832e+10     0.00234632              
83      0.448907779       0.448160844          0.00149386948      6.77619e+09     1.09463e+10     0.00243495              
84      0.450404138       0.449654714          0.00149884905      6.69034e+09     1.12055e+10     0.0025246               
85      0.451905485       0.451153563          0.00150384521      6.60556e+09     1.14642e+10     0.00261603              
86      0.453411837       0.452657408          0.00150885803      6.52185e+09     1.16877e+10     0.00270126              
87      0.45492321        0.454166266          0.00151388755      6.43918e+09     1.19036e+10     0.00278648              
88      0.45643962        0.455680154          0.00151893385      6.35755e+09     1.19986e+10     0.00284477              
89      0.457961086       0.457199087          0.00152399696      6.27694e+09     1.20616e+10     0.00289643              
90      0.459487623       0.458723084          0.00152907695      6.19734e+09     1.19625e+10     0.00290953              
91      0.461019248       0.460252161          0.00153417387      6.11874e+09     1.17716e+10     0.00289988              
92      0.462555979       0.461786335          0.00153928778      6.04113e+09     1.13824e+10     0.00284003              
93      0.464097832       0.463325623          0.00154441874      5.96449e+09     1.07792e+10     0.00272408              
94      0.465644825       0.464870042          0.00154956681      5.88881e+09     9.79242e+09     0.00250652              
95      0.467196975       0.466419609          0.00155473203      5.81408e+09     8.4356e+09      0.00218697              
96      0.468754298       0.467974341          0.00155991447      5.74028e+09     7.31367e+09     0.00192048              
97      0.470316812       0.469534255          0.00156511418      5.66742e+09     8.33311e+09     0.00221631              
98      0.471884535       0.471099369          0.00157033123      5.59546e+09     9.10557e+09     0.0024529               
99      0.473457483       0.4726697            0.00157556567      5.52441e+09     1.05035e+10     0.00286588              
100     0.475035675       0.474245266          0.00158081755      5.45426e+09     1.68469e+10     0.00465579              
101     0.476619127       0.475826084          0.00158608695      5.38498e+09     1.732e+10       0.00484811              
102     0.478207858       0.477412171          0.0015913739       5.31657e+09     1.77825e+10     0.0050416               
103     0.479801884       0.479003544          0.00159667848      5.24903e+09     1.82439e+10     0.00523899              
104     0.481401223       0.480600223          0.00160200074      5.18233e+09     1.87185e+10     0.00544446              
105     0.483005894       0.482202224          0.00160734075      5.11647e+09     1.91739e+10     0.00564869              
106     0.484615914       0.483809564          0.00161269855      5.05144e+09     1.96264e+10     0.00585643              
107     0.4862313         0.485422263          0.00161807421      4.98722e+09     2.00896e+10     0.00607186              
108     0.487852071       0.487040337          0.00162346779      4.92381e+09     2.05332e+10     0.00628584              
109     0.489478245       0.488663805          0.00162887935      4.8612e+09      2.09669e+10     0.00650126              
110     0.491109839       0.490292684          0.00163430895      4.79938e+09     2.13224e+10     0.00669666              
111     0.492746872       0.491926993          0.00163975664      4.73834e+09     2.16771e+10     0.00689578              
112     0.494389361       0.49356675           0.0016452225       4.67806e+09     2.19033e+10     0.0070575               
