This file contains the downward and upward spectral flux (per wavelength) at TOA and the secondary eclipse depth (= planet to star flux ratio).
Spectral fluxes given in [erg s^-1 cm^-3].
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     planet/star flux ratio  
80      0.444448463       0.443708948          0.00147902983      0               2.27132e+11     not_avail.              
81      0.445929958       0.445187978          0.00148395993      0               2.31961e+11     not_avail.              
82      0.447416391       0.446671938          0.00148890646      0               2.14167e+11     not_avail.              
83      0.448907779       0.448160844          0.00149386948      0               2.18098e+11     not_avail.              
84      0.450404138       0.449654714          0.00149884905      0               2.15593e+11     not_avail.              
85      0.451905485       0.451153563          0.00150384521      0               2.1079e+11      not_avail.              
86      0.453411837       0.452657408          0.00150885803      0               1.88508e+11     not_avail.              
87      0.45492321        0.454166266          0.00151388755      0               1.811e+11       not_avail.              
88      0.45643962        0.455680154          0.00151893385      0               1.6325e+11      not_avail.              
89      0.457961086       0.457199087          0.00152399696      0               1.55022e+11     not_avail.              
90      0.459487623       0.458723084          0.00152907695      0               1.38065e+11     not_avail.              
91      0.461019248       0.460252161          0.00153417387      0               1.06183e+11     not_avail.              
92      0.462555979       0.461786335          0.00153928778      0               8.05925e+10     not_avail.              
93      0.464097832       0.463325623          0.00154441874      0               4.79426e+10     not_avail.              
94      0.465644825       0.464870042          0.00154956681      0               3.08316e+10     not_avail.              
95      0.467196975       0.466419609          0.00155473203      0               1.39457e+10     not_avail.              
96      0.468754298       0.467974341          0.00155991447      0               1.25996e+10     not_avail.              
97      0.470316812       0.469534255          0.00156511418      0               2.72079e+10     not_avail.              
98      0.471884535       0.471099369          0.00157033123      0               3.5607e+10      not_avail.              
99      0.473457483       0.4726697            0.00157556567      0               8.13271e+10     not_avail.              
100     0.475035675       0.474245266          0.00158081755      0               2.27625e+11     not_avail.              
101     0.476619127       0.475826084          0.00158608695      0               2.69503e+11     not_avail.              
102     0.478207858       0.477412171          0.0015913739       0               2.78682e+11     not_avail.              
103     0.479801884       0.479003544          0.00159667848      0               3.02026e+11     not_avail.              
104     0.481401223       0.480600223          0.00160200074      0               3.26505e+11     not_avail.              
105     0.483005894       0.482202224          0.00160734075      0               3.23465e+11     not_avail.              
106     0.484615914       0.483809564          0.00161269855      0               3.13108e+11     not_avail.              
107     0.4862313         0.485422263          0.00161807421      0               3.16783e+11     not_avail.              
108     0.487852071       0.487040337          0.00162346779      0               3.21683e+11     not_avail.              
109     0.489478245       0.488663805          0.00162887935      0               3.19964e+11     not_avail.              
110     0.491109839       0.490292684          0.00163430895      0               3.11928e+11     not_avail.              
111     0.492746872       0.491926993          0.00163975664      0               2.8816e+11      not_avail.              
112     0.494389361       0.49356675           0.0016452225       0               2.62484e+11     not_avail.              
113     0.496037326       0.495211972          0.00165070657      0               2.5187e+11      not_avail.              
