This file contains the downward and upward spectral flux (per wavelength) at TOA and the secondary eclipse depth (= planet to star flux ratio).
Spectral fluxes given in [erg s^-1 cm^-3].
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     planet/star flux ratio  
69      0.428473295       0.427760361          0.00142586787      8.09876e+09     2.64967e+10     0.00493153              
70      0.429901539       0.429186229          0.00143062076      7.99638e+09     2.45861e+10     0.00463451              
71      0.431334544       0.430616849          0.0014353895       7.89527e+09     2.15624e+10     0.00411659              
72      0.432772326       0.432052239          0.00144017413      7.79543e+09     1.81858e+10     0.00351641              
73      0.4342149         0.433492413          0.00144497471      7.69684e+09     1.2695e+10      0.00248615              
74      0.435662283       0.434937388          0.00144979129      7.59948e+09     6.69488e+09     0.00132791              
75      0.437114491       0.436387179          0.00145462393      7.50333e+09     7.45565e+09     0.00149775              
76      0.438571539       0.437841803          0.00145947268      7.40838e+09     2.21562e+10     0.00450795              
77      0.440033444       0.439301276          0.00146433759      7.31462e+09     3.75543e+10     0.00773883              
78      0.441500223       0.440765613          0.00146921871      7.22204e+09     3.97109e+10     0.00828817              
79      0.44297189        0.442234832          0.00147411611      7.13061e+09     4.20207e+10     0.00888269              
80      0.444448463       0.443708948          0.00147902983      7.04032e+09     4.29797e+10     0.00920193              
81      0.445929958       0.445187978          0.00148395993      6.95117e+09     4.39897e+10     0.00953896              
82      0.447416391       0.446671938          0.00148890646      6.86313e+09     4.40259e+10     0.00966927              
83      0.448907779       0.448160844          0.00149386948      6.77619e+09     4.4679e+10      0.00993862              
84      0.450404138       0.449654714          0.00149884905      6.69034e+09     4.45831e+10     0.0100446               
85      0.451905485       0.451153563          0.00150384521      6.60556e+09     4.48562e+10     0.0102358               
86      0.453411837       0.452657408          0.00150885803      6.52185e+09     4.29693e+10     0.00993106              
87      0.45492321        0.454166266          0.00151388755      6.43918e+09     4.24033e+10     0.00992606              
88      0.45643962        0.455680154          0.00151893385      6.35755e+09     3.99466e+10     0.00947104              
89      0.457961086       0.457199087          0.00152399696      6.27694e+09     3.8904e+10      0.00934232              
90      0.459487623       0.458723084          0.00152907695      6.19734e+09     3.61263e+10     0.0087867               
91      0.461019248       0.460252161          0.00153417387      6.11874e+09     3.1379e+10      0.0077301               
92      0.462555979       0.461786335          0.00153928778      6.04113e+09     2.64558e+10     0.00660102              
93      0.464097832       0.463325623          0.00154441874      5.96449e+09     1.93348e+10     0.00488624              
94      0.465644825       0.464870042          0.00154956681      5.88881e+09     1.3815e+10      0.00353615              
95      0.467196975       0.466419609          0.00155473203      5.81408e+09     7.66625e+09     0.00198752              
96      0.468754298       0.467974341          0.00155991447      5.74028e+09     6.51076e+09     0.00170965              
97      0.470316812       0.469534255          0.00156511418      5.66742e+09     1.18104e+10     0.00314115              
