NAME,Type,P0,PB,MSP,DISCyr,REFdisc,Edot,MCOMP_i90
PSR_J1803-6707,RB,2.1346188308531695,9.13135992,1,2023,cbb+23,7.48e+34,0.288
PSR_J1805+0615,BW,2.128906459021764,8.084928744,1,2016,cck+16,9.31e+34,0.0229
PSR_J1810+1744,BW,1.6627549909837,3.55608684,1,2011,hrm+11,3.84e+34,0.0435
PSR_J1814+0045g,BW,2.30854,4.8552,1,2024,why+24,,0.0551
PSR_J1816+4510,RB,3.1931035571918316,8.661443563968,1,2012,rap+12,5.22e+34,0.158
PSR_J1830-0106g,BW,1.75841,2.5584,1,2024,why+24,,0.0461
PSR_J1833-3840,BW,1.86606721586073,21.610849176,1,2023,saa+23,1.08e+35,0.00828
PSR_J1838+1507g,BW,3.81818,2.6856,1,2024,why+24,,0.028
PSR_J1847+0342g,BW,4.28904,3.3408,1,2024,why+24,,0.0169
PSR_J1849+0304g,RB,1.79342,5.7888,1,2024,why+24,,0.279
PSR_J1859+0313g,RB,1.61335,10.6632,1,2024,why+24,,0.288
PSR_J1908+2105,RB,2.564392670634839,3.5116042392,1,2016,cck+16,3.24e+34,0.0541
PSR_J1910-5320,RB,2.33236685551,8.363460024,1,2023,ass+23,1.15e+35,0.277
PSR_J1919+0126g,BW,1.89736,6.4656,1,2024,why+24,,0.0245
PSR_J1919+1502g,RB,3.64606,2.6856,1,2024,why+24,,0.095
PSR_J1928+1245,BW,3.0216063479651454,3.2792334456,1,2019,pkr+19,2.4e+34,0.00897
PSR_J1931+1428g,RB,2.6077,4.356,1,2024,why+24,,0.248
PSR_J1932+2121,RB,14.244703565637,1.9417391208,1,2024,why+24,4.81e+33,0.115
PSR_J1946-5403,BW,2.71,3.12,1,2015,ckr+15,,0.0214
PSR_J1947-1120,HM,2.240104451,246.34104,1,2025,sru+25,,0.198
PSR_J1953+1006g,BW,2.58559,2.8896,1,2024,why+24,,0.0116
PSR_J1957+2516,RB,3.961655342404,5.715473304,1,2015,lbh+15,1.74e+34,0.0966
PSR_J2003+3032g,BW,1.78537,3.588,1,2024,why+24,,0.0305
PSR_J2017-1614,BW,2.3142872649224,2.3478061872,1,2016,san16,7.8e+33,0.026
PSR_J2039-5617,RB,2.6509071060648757,5.47151532,1,2015,r15,3e+34,0.171
PSR_J2047+1053,BW,4.285927910802672,2.9829473064,1,2012,rap+12,1.04e+34,0.0354
PSR_J2051-0827,BW,4.508641820006425,2.3786461176,1,1996,sbl+96,5.48e+33,0.0267
PSR_J2052+1219,BW,1.9852562818186776,2.7507270024,1,2016,cck+16,3.38e+34,0.0331
PSR_J2055+1545,RB,2.1590277489946,4.8174108432,1,2023,lod+23,3.83e+34,0.244
PSR_J2055+3829,BW,2.0892903021910656,3.11016895056,1,2017,goc+19,4.33e+33,0.0224
PSR_J2115+5448,BW,2.602876738872,3.247732512,1,2016,san16,1.68e+35,0.0215
PSR_J2129-0429,RB,7.613937470415,15.24546552,1,2011,hrm+11,2.93e+34,0.368
PSR_J2214+3000,BW,3.119226581323024,9.999190701901643,1,2011,rrc+11,1.92e+34,0.0133
PSR_J2215+5135,RB,2.6096197234460816,4.14004464,1,2011,hrm+11,7.41e+34,0.208
PSR_J2234+0944,BW,3.627027895734231,10.07184088944,1,2012,rap+12,1.66e+34,0.0154
PSR_J2241-5236,BW,2.1866997725548445,3.496133766,1,2011,kjr+11,2.6e+34,0.0117
PSR_J2256-1024,BW,2.294531816964991,5.109183131913783,1,2011,blm+11,3.71e+34,0.0295
PSR_J2333-5526,RB,2.1024602801435,6.90348504,1,2020,ssu+20,3.31e+34,0.293
PSR_J2339-0533,RB,2.8842267415472285,4.634361643452058,1,2011,rs11,2.32e+34,0.257
ZTF_J1406+1222,BWc,,1.033358928,0,2022,bmf+22,,
